line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
arthur held at camelot his christmas feast,with all the knights of the round table,full fifteen days,img2poems,11,9,4,arthur held at camelot his christmas feast with all the knights of the round table full fifteen days
a thousand prayers,from valley folds and mountains,paper cranes,tempslibre,4,7,4,a thousand prayers from valley folds and mountains paper cranes
Any guy that give, u a reason to check his,phone u check that shit,twaiku,6,7,6,Any guy that give  u a reason to check his phone u check that shit
Watching the people, you L VE evolve is like,heaven in motion,twaiku,5,8,5,Watching the people  you L VE evolve is like heaven in motion
Gustav Holst is one, of the greatest composers,of all time hands down,twaiku,6,7,6,Gustav Holst is one  of the greatest composers of all time hands down
what you supposed to, do if your graduation,cap don't fit your head,twaiku,6,6,5,what you supposed to  do if your graduation cap don't fit your head
Congratulations, on the show I'm not missing,any episodes,twaiku,5,7,6,Congratulations  on the show I'm not missing any episodes
half ap i can, farm everything i need for,my next eternal,twaiku,4,8,5,half ap i can  farm everything i need for my next eternal
I made a promise, that if it stresses me I,won't tolerate it,twaiku,7,7,6,I made a promise  that if it stresses me I won't tolerate it
Watch everybody, change their spooky twitter name,after tomorrow,twaiku,6,9,5,Watch everybody  change their spooky twitter name after tomorrow
Federal Express,reaches me through the fog,plumeria lei,tempslibre,5,6,4,Federal Express reaches me through the fog plumeria lei
After someone hurt, you make your heart break you're not,the same anymore,twaiku,6,9,7,After someone hurt  you make your heart break you're not the same anymore
need to find myself, a californian skater,surfer boy in LA,twaiku,5,7,5,need to find myself  a californian skater surfer boy in LA
I have only been, at work for an hour and,I want to go home,twaiku,6,6,6,I have only been  at work for an hour and I want to go home
Listening to two, guys in my class talk about,golf is hurting me,twaiku,5,7,5,Listening to two  guys in my class talk about golf is hurting me
first night of fall . . .,most of the moon,spills through the leaves,sballas,4,4,5,first night of fall . . . most of the moon spills through the leaves
Probably going, to make myself throw up so,I can feel better,twaiku,4,8,5,Probably going  to make myself throw up so I can feel better
Way to battle back, Lets start this second half strong,and put them away,twaiku,5,7,5,Way to battle back  Lets start this second half strong and put them away
different carols,two drifters singing,for spare change,sballas,5,5,5,different carols two drifters singing for spare change
hey Anthony Tell, Putin I said what's up How's,life on the troll farm,twaiku,5,7,6,hey Anthony Tell  Putin I said what's up How's life on the troll farm
i got a hanging, planter and i love it and,can't wait to have plants,twaiku,5,8,6,i got a hanging  planter and i love it and can't wait to have plants
Send it up above, the water Light the flare up,of the clueless youth,twaiku,6,8,5,Send it up above  the water Light the flare up of the clueless youth
Nobody ever, said it was easy pero,you had it coming,twaiku,5,7,5,Nobody ever  said it was easy pero you had it coming
In pains I sorrows, I wanna be there for you,as much as I could,twaiku,5,8,5,In pains I sorrows  I wanna be there for you as much as I could
I haven't smoked weed, in a whole month and I am,so proud of myself,twaiku,6,8,5,I haven't smoked weed  in a whole month and I am so proud of myself
winter drive . . .,a flight of starlings,pours into the ditch,sballas,4,5,5,winter drive . . . a flight of starlings pours into the ditch
the last telephone pole,a herring gull perched,on one leg,sballas,8,6,4,the last telephone pole a herring gull perched on one leg
Guys but I'm ready, to be a travel blogger,for a living man,twaiku,5,7,5,Guys but I'm ready  to be a travel blogger for a living man
For clarity this, is the Bear Writing app I,was commenting on,twaiku,5,7,5,For clarity this  is the Bear Writing app I was commenting on
Reads out of Updike, at its disappointment as,Rabbit to Nelson,twaiku,6,7,5,Reads out of Updike  at its disappointment as Rabbit to Nelson
Why do I always, feel the need to buy things with,money I don't have,twaiku,5,7,6,Why do I always  feel the need to buy things with money I don't have
Mention one thing you, love about your body and,personality,twaiku,6,8,5,Mention one thing you  love about your body and personality
Stop talking about, your problems and start thinking,about solutions,twaiku,5,7,5,Stop talking about  your problems and start thinking about solutions
First festive night out, and I was so sick I blocked,the premier inn sink,twaiku,6,8,5,First festive night out  and I was so sick I blocked the premier inn sink
funeral day??,still i hesitate,to open mom's purse,sballas,4,6,6,funeral day?? still i hesitate to open mom's purse
That last election, was just a mess Throw the whole,election away,twaiku,5,8,5,That last election  was just a mess Throw the whole election away
autumn rain,the river,runs with it,herons_nest,3,3,3,autumn rain the river runs with it
LOL women how would, you feel if a guy tried to,shoot his shot this way,twaiku,5,7,5,LOL women how would  you feel if a guy tried to shoot his shot this way
I was gonna take, it easy on beer this week,but then I read this,twaiku,6,7,5,I was gonna take  it easy on beer this week but then I read this
i'm about to be, so ill again and i'm just,not ready for it,twaiku,5,7,5,i'm about to be  so ill again and i'm just not ready for it
Y'all be having so, much shit to say about me,but never to me,twaiku,6,7,5,Y'all be having so  much shit to say about me but never to me
literally my, whole existence smells like spam,I hate cooking spam,twaiku,5,10,6,literally my  whole existence smells like spam I hate cooking spam
Ryan Donato, is starting to make me feel,bad about myself,twaiku,4,8,5,Ryan Donato  is starting to make me feel bad about myself
our blight has been our sinecure,mere talent was enough for us,glitter in fragments and rough drafts,img2poems,9,9,8,our blight has been our sinecure mere talent was enough for us glitter in fragments and rough drafts
Funny how human, beings be looking for what,they had but let go,twaiku,5,6,5,Funny how human  beings be looking for what they had but let go
Having one parents, actually fucking sucks,more than anything,twaiku,6,6,6,Having one parents  actually fucking sucks more than anything
People that fight with, other people on twitter,and quote things are gross,twaiku,5,7,7,People that fight with  other people on twitter and quote things are gross
everytime i get, sad i wanna re read bruise,why am i like this,twaiku,7,8,6,everytime i get  sad i wanna re read bruise why am i like this
searching willow wands,for the purple phoebe,my water bottle flutes,sballas,5,6,7,searching willow wands for the purple phoebe my water bottle flutes
For anyone who, thought they talked to me last night,that was Patricia,twaiku,5,8,5,For anyone who  thought they talked to me last night that was Patricia
the playground swing,squeaks a high note,summer heat,herons_nest,4,5,3,the playground swing squeaks a high note summer heat
Nicki fans be hurt, chill ya'll I like Nicki too,I just peeped some shit,twaiku,5,8,7,Nicki fans be hurt  chill ya'll I like Nicki too I just peeped some shit
Even if there are, scars on my feet I'll smile when,I look at you Run,twaiku,7,8,5,Even if there are  scars on my feet I'll smile when I look at you Run
I been dealing with, depression so my bad if,I go ghost sometimes,twaiku,5,7,7,I been dealing with  depression so my bad if I go ghost sometimes
Stop diving into, drama and rise above the,shore to achievements,twaiku,5,9,7,Stop diving into  drama and rise above the shore to achievements
like last year,cherry blossoms,hides buildings,haikuzao,4,4,4,like last year cherry blossoms hides buildings
Why is everyone, just starring at strikes down the,middle Swing the bat,twaiku,6,8,5,Why is everyone  just starring at strikes down the middle Swing the bat
mixed precipitation ,a flat finish,on Wall Street,haikuzao,7,4,3,mixed precipitation  a flat finish on Wall Street
If you ever feel, unlucky just remember,that I still exist,twaiku,5,7,5,If you ever feel  unlucky just remember that I still exist
Hm Daniel Carr a, healthy scratch today That's weird,Played quite well last night,twaiku,4,7,6,Hm Daniel Carr a  healthy scratch today That's weird Played quite well last night
somebody bought me, a donut today so yeah,my whole day is made,twaiku,6,7,7,somebody bought me  a donut today so yeah my whole day is made
settlers? cemetery,an old yew creaks,at noon,sballas,6,4,2,settlers? cemetery an old yew creaks at noon
I carried him always in,"my heart, what did it matter if I",gave him the least part of me too?,gutenberg,7,9,9,"I carried him always in my heart, what did it matter if I gave him the least part of me too?"
cool morning--,at the top of the rise,deer pass in the fog,tempslibre,3,7,5,cool morning-- at the top of the rise deer pass in the fog
the past is over, focus on the future and,bettering yourself,twaiku,5,8,5,the past is over  focus on the future and bettering yourself
a blue eye is a true eye,mysterious is a dark one,which flashes like a spark-sun,img2poems,7,8,8,a blue eye is a true eye mysterious is a dark one which flashes like a spark-sun
Level empty where, empire at before i,go back to the Jack,twaiku,6,8,5,Level empty where  empire at before i go back to the Jack
i think i better, go before i try something,i'm gonna regret,twaiku,5,9,5,i think i better  go before i try something i'm gonna regret
My biceps look so, good when I do bicep curls,it's what I deserve,twaiku,5,7,6,My biceps look so  good when I do bicep curls it's what I deserve
when my sister told, me daniel called me cute i,said uH is he blind,twaiku,5,9,5,when my sister told  me daniel called me cute i said uH is he blind
Pedro lagging I'm, ready to hand out L's to,whoever wants it,twaiku,5,6,4,Pedro lagging I'm  ready to hand out L's to whoever wants it
